Model,Experiment,Mean Initial Confidence,SD Initial Confidence,Sample Size
anthropic/claude-3.5-haiku,cross_model,71.66666666666667,4.92365963917331,12
anthropic/claude-3.5-haiku,deceptive_self_debate,75.41666666666667,6.200562046860727,12
anthropic/claude-3.5-haiku,informed_self,54.583333333333336,9.64325796826074,12
anthropic/claude-3.5-haiku,public_bets,73.33333333333333,7.177405625652734,12
anthropic/claude-3.5-haiku,redteam_v2,64.16666666666667,12.762397418933007,12
anthropic/claude-3.5-haiku,self_debate,71.25,6.4402851433203425,12
anthropic/claude-3.5-haiku,self_redteam_debate,69.58333333333333,8.908201872772114,12
anthropic/claude-3.7-sonnet,cross_model,67.3076923076923,3.881250129030924,13
anthropic/claude-3.7-sonnet,deceptive_self_debate,59.583333333333336,19.242275112760225,12
anthropic/claude-3.7-sonnet,informed_self,50.083333333333336,2.151461800448216,12
anthropic/claude-3.7-sonnet,public_bets,56.25,6.077155435054972,12
anthropic/claude-3.7-sonnet,redteam_v2,64.58333333333333,3.964807305493795,12
anthropic/claude-3.7-sonnet,self_debate,56.25,8.56127645538062,12
anthropic/claude-3.7-sonnet,self_redteam_debate,58.333333333333336,2.461829819586655,12
deepseek/deepseek-chat,cross_model,74.58333333333333,7.216878364870322,12
deepseek/deepseek-chat,deceptive_self_debate,62.5,3.3709993123162105,12
deepseek/deepseek-chat,informed_self,49.166666666666664,6.336522323129238,12
deepseek/deepseek-chat,public_bets,56.25,7.423855895936852,12
deepseek/deepseek-chat,redteam_v2,70.0,4.767312946227961,12
deepseek/deepseek-chat,self_debate,54.583333333333336,4.9810245994781095,12
deepseek/deepseek-chat,self_redteam_debate,62.083333333333336,4.5016831868926,12
deepseek/deepseek-r1-distill-qwen-14b:free,cross_model,79.0909090909091,10.44465935734187,11
deepseek/deepseek-r1-distill-qwen-14b:free,deceptive_self_debate,72.91666666666667,6.556860852757533,12
deepseek/deepseek-r1-distill-qwen-14b:free,informed_self,55.75,4.712169930567599,12
deepseek/deepseek-r1-distill-qwen-14b:free,public_bets,69.58333333333333,16.300910924537224,12
deepseek/deepseek-r1-distill-qwen-14b:free,redteam_v2,78.75,8.2915619758885,12
deepseek/deepseek-r1-distill-qwen-14b:free,self_debate,76.66666666666667,13.200091827045153,12
deepseek/deepseek-r1-distill-qwen-14b:free,self_redteam_debate,81.25,9.323723407620916,12
google/gemini-2.0-flash-001,cross_model,65.41666666666667,8.382431122004613,12
google/gemini-2.0-flash-001,deceptive_self_debate,48.166666666666664,12.186679265294197,12
google/gemini-2.0-flash-001,informed_self,36.25,26.035378028576982,12
google/gemini-2.0-flash-001,public_bets,34.583333333333336,25.801544468688245,12
google/gemini-2.0-flash-001,redteam_v2,63.75,14.321788867443772,12
google/gemini-2.0-flash-001,self_debate,43.25,27.032387981826542,12
google/gemini-2.0-flash-001,self_redteam_debate,59.916666666666664,5.401318581998513,12
google/gemma-3-27b-it,cross_model,67.5,6.215815605080611,12
google/gemma-3-27b-it,deceptive_self_debate,54.583333333333336,11.171866722289792,12
google/gemma-3-27b-it,informed_self,53.333333333333336,11.146408580454255,12
google/gemma-3-27b-it,public_bets,63.75,9.799118698777317,12
google/gemma-3-27b-it,redteam_v2,67.91666666666667,7.216878364870322,12
google/gemma-3-27b-it,self_debate,68.75,7.423855895936852,12
google/gemma-3-27b-it,self_redteam_debate,69.58333333333333,6.556860852757533,12
openai/gpt-4o-mini,cross_model,75.0,3.692744729379982,12
openai/gpt-4o-mini,deceptive_self_debate,65.0,8.528028654224418,12
openai/gpt-4o-mini,informed_self,57.083333333333336,12.695441797127126,12
openai/gpt-4o-mini,public_bets,72.91666666666667,4.9810245994781095,12
openai/gpt-4o-mini,redteam_v2,76.66666666666667,3.892494720807615,12
openai/gpt-4o-mini,self_debate,67.08333333333333,7.216878364870322,12
openai/gpt-4o-mini,self_redteam_debate,71.25,2.261335084333227,12
openai/o3-mini,cross_model,77.5,5.838742081211422,12
openai/o3-mini,deceptive_self_debate,63.166666666666664,11.495717252590861,12
openai/o3-mini,informed_self,50.0,0.0,12
openai/o3-mini,public_bets,72.08333333333333,9.404624909956254,12
openai/o3-mini,redteam_v2,82.5,4.522670168666454,12
openai/o3-mini,self_debate,70.0,10.660035817780521,12
openai/o3-mini,self_redteam_debate,70.0,9.534625892455923,12
qwen/qwen-max,cross_model,73.33333333333333,8.616404368553292,12
qwen/qwen-max,deceptive_self_debate,62.083333333333336,4.5016831868926,12
qwen/qwen-max,informed_self,43.333333333333336,22.29281716090851,12
qwen/qwen-max,public_bets,64.58333333333333,10.966546927595372,12
qwen/qwen-max,redteam_v2,67.91666666666667,5.418123347254158,12
qwen/qwen-max,self_debate,62.083333333333336,12.87321626361093,12
qwen/qwen-max,self_redteam_debate,63.333333333333336,6.154574548966636,12
qwen/qwq-32b:free,cross_model,78.75,4.330127018922194,12
qwen/qwq-32b:free,deceptive_self_debate,75.83333333333333,8.21122660899347,12
qwen/qwq-32b:free,informed_self,50.416666666666664,1.4433756729740645,12
qwen/qwq-32b:free,public_bets,71.66666666666667,8.616404368553292,12
qwen/qwq-32b:free,redteam_v2,73.75,7.111130839619098,12
qwen/qwq-32b:free,self_debate,70.83333333333333,10.624442944398915,12
qwen/qwq-32b:free,self_redteam_debate,65.0,4.767312946227961,12
